------ ----------- ----------- --------- --------- -----------------------
 59.63 1271.830170        1981    641698        19 poll
 22.52  480.355108         612    784237     87504 futex
 14.19  302.724072       20433     14815         1 clock_nanosleep
  1.44   30.640358      806325        38        28 restart_syscall
  1.43   30.577981           4   7144759           gettid
  0.16    3.507123       16014       219        13 wait4
  0.14    2.882731           8    356687           writev
  0.10    2.164994      108249        20           select
  0.06    1.225032        3258       376           clone
  0.06    1.199892          14     80429      7708 read
  0.05    1.019566          11     87324           getpid
  0.04    0.893874           7    121308        74 recvmsg
  0.04    0.758189         174      4347        20 ioctl
  0.02    0.421204         300      1400      1266 execve
  0.02    0.392494          16     23242           write
  0.02    0.384779           7     52191      4128 openat
  0.02    0.381948        8487        45           ppoll
  0.02    0.343355           8     38506      2206 stat
  0.01    0.305889           4     68567         4 close
  0.01    0.241954          14     16231           times
  0.01    0.185936           7     25187           mprotect
  0.00    0.103616          26      3961           sendmsg
  0.00    0.072564           7      9215           mmap
  0.00    0.062708           9      6300           sched_yield
  0.00    0.059298          12      4631           fstat
  0.00    0.049830           6      7607      1826 readlink
  0.00    0.039000          16      2306         3 recvfrom
  0.00    0.033105          36       898           getdents64
  0.00    0.028273           5      5327         1 lseek
  0.00    0.027200          21      1278           brk
  0.00    0.026716           6      4023         7 fcntl
  0.00    0.015825          27       576           munmap
  0.00    0.009015         231        39           fsync
  0.00    0.007550          12       597           pipe2
  0.00    0.006660          17       379           clock_gettime
  0.00    0.005471         390        14           fdatasync
  0.00    0.005304          30       176           eventfd2
  0.00    0.004790           4      1088           pread64
  0.00    0.004197          43        97           getcwd
  0.00    0.004028          24       166           madvise
  0.00    0.003894           4       828       213 access
  0.00    0.003698           1      2390           rt_sigaction
  0.00    0.002572           5       440           rt_sigprocmask
  0.00    0.002315          16       137       108 unlink
  0.00    0.002257          34        66           pipe
  0.00    0.002242          11       197         7 rt_sigreturn
  0.00    0.002215         221        10           ftruncate
  0.00    0.001936           9       208       207 mkdir
  0.00    0.001918           9       196       131 waitid
  0.00    0.001673           3       482           set_robust_list
  0.00    0.001668           2       570           mremap
  0.00    0.001472          10       147           prctl
  0.00    0.001399          22        63        35 connect
  0.00    0.001354           5       265        12 lstat
  0.00    0.001312           7       170        17 getsockopt
  0.00    0.001229          11       109       108 rmdir
  0.00    0.001194           4       268       134 arch_prctl
  0.00    0.001038          12        80           socket
  0.00    0.000890           7       122        37 faccessat
  0.00    0.000749           4       175         8 mlock
  0.00    0.000741           3       192           getuid
  0.00    0.000637           7        88           uname
  0.00    0.000631           5       110           setsockopt
  0.00    0.000606           4       144           prlimit64
  0.00    0.000572           3       145           geteuid
  0.00    0.000532           0       782           dup2
  0.00    0.000434           8        50           pwrite64
  0.00    0.000422           3       120           set_tid_address
  0.00    0.000396          39        10           rename
  0.00    0.000324           6        47        18 sendto
  0.00    0.000305           2       151           getrandom
  0.00    0.000295           4        61           getsockname
  0.00    0.000288           5        50           sched_setattr
  0.00    0.000286           5        50           sched_getattr
  0.00    0.000224           2       110           getgid
  0.00    0.000187           1        99           getegid
  0.00    0.000171          13        13           socketpair
  0.00    0.000144           1       116           fstatfs
  0.00    0.000133           4        27           getpeername
  0.00    0.000100          25         4           inotify_add_watch
  0.00    0.000092           4        21           getppid
  0.00    0.000088           7        12           bind
  0.00    0.000076           4        16           munlock
  0.00    0.000074          12         6           flock
  0.00    0.000072          18         4           fchmod
  0.00    0.000067          33         2           inotify_rm_watch
  0.00    0.000057           4        14           umask
  0.00    0.000055          55         1           shmdt
  0.00    0.000053          13         4           memfd_create
  0.00    0.000051          25         2           shmat
  0.00    0.000039           4         8           sched_get_priority_min
  0.00    0.000039           9         4           inotify_init
  0.00    0.000036           4         8           sched_get_priority_max
  0.00    0.000035           4         8         8 sched_setscheduler
  0.00    0.000033          11         3           fallocate
  0.00    0.000030          10         3           shmctl
  0.00    0.000025           0        29           fadvise64
  0.00    0.000024           6         4         4 statfs
  0.00    0.000018           1        10           sysinfo
  0.00    0.000016           1        10           getpgrp
  0.00    0.000015           7         2           shmget
  0.00    0.000012           4         3           shutdown
  0.00    0.000012           6         2           kill
  0.00    0.000009           3         3           sigaltstack
  0.00    0.000005           5         1           listen
  0.00    0.000005           5         1           getresgid
  0.00    0.000003           3         1           getresuid
  0.00    0.000000           0         2           dup
  0.00    0.000000           0         1           chdir
  0.00    0.000000           0         2           getgroups
  0.00    0.000000           0         6           dup3
------ ----------- ----------- --------- --------- -----------------------
100.00 2133.047293         224   9519789    105855 total
